high,best_bid,last,cur,symbol,best_ask,vwap,max_bid,volume,low,min_ask,time
0.00033909,0.00026897,0.00033908,BNT,BNT/BTC,0.00033998,0.00033909,0.00033909,50.43770779,0.00033908,0.00033908,Mon Nov 27 18:27:08 2017
1.09e-06,1e-06,1.03e-06,FST,FST/BTC,1.03e-06,9.6e-07,9.9e-06,724265.106304,9e-07,9e-07,Mon Nov 27 18:27:08 2017
7.158e-05,6.5e-05,6.5e-05,GRS,GRS/BTC,6.65e-05,6.631e-05,7.113e-05,9558.98772953,6.304e-05,6.304e-05,Mon Nov 27 18:27:08 2017
0.00062354,0.00050434,0.00062354,PPY,PPY/BTC,0.00062353,0.00058801,0.00064,575.93805794,0.0005068,0.0005068,Mon Nov 27 18:27:08 2017
0.0,5.5e-05,0.0,HVN,HVN/ETH,9e-05,0.0,5.501e-05,0.0,0.0,9e-05,Mon Nov 27 18:27:08 2017
0.0012,0.00069889,0.00085,HST,HST/ETH,0.00085,0.00042591,0.0012,8146.3516853,0.0001,0.0001,Mon Nov 27 18:27:08 2017
1.655e-05,1.519e-05,1.533e-05,BTA,BTA/BTC,1.555e-05,1.495e-05,1.655e-05,18057.474863,1.407e-05,1.4e-05,Mon Nov 27 18:27:08 2017
4.17e-06,4.01e-06,4.01e-06,SNT,SNT/BTC,4.16e-06,4e-06,4.17e-06,71876.3723748,3.69e-06,3.69e-06,Mon Nov 27 18:27:08 2017
3.345e-05,3.018e-05,3.018e-05,FU,FU/ETH,3.065e-05,3.04e-05,3.345e-05,288746.202275,2.999e-05,2.999e-05,Mon Nov 27 18:27:08 2017
0.00046354,0.00042012,0.00042013,DAY,DAY/BTC,0.00043,0.00044286,0.00053999,36.02110603,0.00041999,0.00041999,Mon Nov 27 18:27:08 2017
0.17979,0.11009,0.17776,QAU,QAU/USD,0.17776,0.14979514,0.17979,92.70569,0.1085,0.1085,Mon Nov 27 18:27:08 2017
0.45,0.35,0.35,HST,HST/USD,0.48,0.43383472,0.45,122.13368226,0.35,0.361,Mon Nov 27 18:27:08 2017
0.00011029,0.00010505,0.00011029,eETT,eETT/ETH,0.000219,0.00011029,0.00011029,154.13169,0.00011029,0.00011029,Mon Nov 27 18:27:08 2017
42.0,39.01,40.0,NEO,NEO/USD,40.0,39.81871228,42.0,157.29186762,35.50629,35.50629,Mon Nov 27 18:27:08 2017
0.0,2.22356,0.0,RLT,RLT/RUR,35.0,0.0,0.0,0.0,0.0,34.999,Mon Nov 27 18:27:08 2017
3.111e-05,2.7e-05,2.773e-05,LEO,LEO/BTC,2.948e-05,2.777e-05,0.15,57836.5420842,2.4e-05,1e-05,Mon Nov 27 18:27:08 2017
0.00010999,7.13e-05,7.117e-05,ARTE,ARTE/BTC,9.974e-05,8.144e-05,0.0007086,15.0,7.087e-05,7.087e-05,Mon Nov 27 18:27:08 2017
6.333e-05,5.811e-05,5.965e-05,VRC,VRC/BTC,6.051e-05,6.001e-05,6.333e-05,34735.9715877,5.79e-05,5.658e-05,Mon Nov 27 18:27:08 2017
0.0999,0.0521,0.0999,eETT,eETT/USD,0.09125,0.0999,0.0999,19.98404,0.0999,0.09125,Mon Nov 27 18:27:08 2017
8.852e-05,7.874e-05,8.17e-05,OBITS,OBITS/BTC,8.644e-05,8.375e-05,8.852e-05,9506.08492906,7.874e-05,7.874e-05,Mon Nov 27 18:27:08 2017
0.0,0.00025006,0.0,QAU,QAU/ETH,0.00037349,0.0,0.00025051,0.0,0.0,0.0004998,Mon Nov 27 18:27:08 2017
2e-08,1e-08,1e-08,ESP,ESP/BTC,2e-08,1e-08,2e-08,80718619.1227,1e-08,1e-08,Mon Nov 27 18:27:08 2017
0.00063999,0.0005889,0.00059495,WAVES,WAVES/BTC,0.000599,0.0005882,0.00063999,11297.9307378,0.00056337,0.00056337,Mon Nov 27 18:27:08 2017
0.0,2.04655,0.0,CLOAK,CLOAK/EUR,11.98,0.0,2.04655,0.0,0.0,11.98,Mon Nov 27 18:27:08 2017
